sep=,
//Automation Builder IO Mappings Export V1.0
//Important: change only first and fourth column in Excel
*Variable,Channel name,Data type,*Description,Terminal,Device name,Device type,Device path,Parameter ID,Device Guid,
iQ_WheelTurnMotorFL,Digital input I24,BOOL,-A1_1:4.0 I24 : =S1+F-Q81 Wheel Turn Motor Front Left CB,="4.0",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I24,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iQ_WheelTurnMotorBR,Digital input I25,BOOL,-A1_1:4.1 I25 : =S1+F-Q83 Wheel Turn Motor Back Right CB,="4.1",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I25,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iK_StackAntiCollRight,Digital input I26,BOOL,-A1_1:4.2 I26 : =S1+F-K6 Stack Anti Collision Right Contactor On,="4.2",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I26,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I27,BOOL,,="4.3",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I27,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iQ_WheelTurnMotorFR,Digital input I28,BOOL,-A1_1:4.4 I28 : =S1+F-Q82 Wheel Turn Motor Front Right CB,="4.4",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I28,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iQ_WheelTurnMotorBL,Digital input I29,BOOL,-A1_1:4.5 I29 : =S1+F-Q84 Wheel Turn Motor Back Left CB,="4.5",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I29,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
iK_StackAntiCollLeft,Digital input I30,BOOL,-A1_1:4.6 I30 : =S1+F-K8 Stack Anti Collision Left Contactor On,="4.6",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I30,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
,Digital input I31,BOOL,,="4.7",S1AA1_1,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Bytes.Byte3.Digital_Input_I31,33adbea9-a5f6-4a73-bf69-1959d0a3169c,
//S1AA1_2 (AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1)
,Digital inputs I0 - I31,DWORD,,,S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Typ_DWord,3248a174-6b7a-4116-bda1-57f4bd94439a,
,Digital inputs I0 - I15,WORD,,,S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Words.Word0,3248a174-6b7a-4116-bda1-57f4bd94439a,
,Digital inputs I16 - I31,WORD,,,S1AA1_2,DI524,AC500_PM592_ETH_V2_3\Extension_Bus\CM579_PNIO_A02\CM579_Master\S1AA1,7000.Words.Word1,3248a174-6b7a-4116-bda1-57f4bd94439a,
